rgvX,rgvY,Time
17.488040924072266,2.511284112930298,STANDBY,1712170402.173779
17.488040924072266,2.511284112930298,STANDBY,1712170402.204272
26.41295623779297,11.062591552734375,STANDBY,1712170402.31124
26.41295623779297,11.062591552734375,STANDBY,1712170402.414364
26.41295623779297,11.062591552734375,STANDBY,1712170402.511465
26.41295623779297,11.062591552734375,STANDBY,1712170402.594308
26.41295623779297,11.062591552734375,STANDBY,1712170402.696496
26.41295623779297,11.062591552734375,STANDBY,1712170402.791449
26.41295623779297,11.062591552734375,STANDBY,1712170402.885856
26.41295623779297,11.062591552734375,STANDBY,1712170403.000649
26.41295623779297,11.062591552734375,STANDBY,1712170403.087722
21.331544876098633,4.438607215881348,STANDBY,1712170405.601831
21.331544876098633,4.438607215881348,STANDBY,1712170405.606766
21.331544876098633,4.438607215881348,STANDBY,1712170405.648243
21.331544876098633,4.438607215881348,STANDBY,1712170405.756506
21.331544876098633,4.438607215881348,STANDBY,1712170405.853618
21.331544876098633,4.438607215881348,STANDBY,1712170405.945427
21.38377571105957,4.692224502563477,STANDBY,1712170406.032927
21.38377571105957,4.692224502563477,STANDBY,1712170406.137661
28.562400817871094,8.77945327758789,STANDBY,1712170406.239123
28.562400817871094,8.77945327758789,STANDBY,1712170406.354411
28.562400817871094,8.77945327758789,STANDBY,1712170406.463141
28.562400817871094,8.77945327758789,STANDBY,1712170406.556051
28.562400817871094,8.77945327758789,STANDBY,1712170406.640168
28.562400817871094,8.77945327758789,STANDBY,1712170406.735416
28.562400817871094,8.77945327758789,STANDBY,1712170406.850478
28.562400817871094,8.77945327758789,STANDBY,1712170406.942597
28.562400817871094,8.77945327758789,STANDBY,1712170407.033456
29.57682228088379,8.290108680725098,STANDBY,1712170407.138332
29.002172470092773,8.054372787475586,STANDBY,1712170407.251506
29.002172470092773,8.054372787475586,STANDBY,1712170407.351535
29.002172470092773,8.054372787475586,STANDBY,1712170407.454861
29.002172470092773,8.054372787475586,STANDBY,1712170407.552378
29.002172470092773,8.054372787475586,STANDBY,1712170407.635769
29.002172470092773,8.054372787475586,STANDBY,1712170407.735832
29.002172470092773,8.054372787475586,STANDBY,1712170407.835934
29.002172470092773,8.054372787475586,STANDBY,1712170407.944718
29.002172470092773,8.054372787475586,STANDBY,1712170408.04684
29.002172470092773,8.054372787475586,STANDBY,1712170408.177394
29.866987228393555,7.7374773025512695,STANDBY,1712170408.234779
29.866987228393555,7.7374773025512695,STANDBY,1712170408.33845
29.866987228393555,7.7374773025512695,STANDBY,1712170408.440996
29.866987228393555,7.7374773025512695,STANDBY,1712170408.534396
29.866987228393555,7.7374773025512695,STANDBY,1712170408.637525
29.866987228393555,7.7374773025512695,STANDBY,1712170408.734444
29.866987228393555,7.7374773025512695,STANDBY,1712170408.837281
29.866987228393555,7.7374773025512695,STANDBY,1712170408.950981
29.866987228393555,7.7374773025512695,STANDBY,1712170409.05622
29.866987228393555,7.7374773025512695,STANDBY,1712170409.167126
29.866987228393555,7.7374773025512695,STANDBY,1712170409.238812
29.574180603027344,7.81766414642334,STANDBY,1712170409.33944
29.574180603027344,7.81766414642334,STANDBY,1712170409.448183
29.574180603027344,7.81766414642334,STANDBY,1712170409.559861
29.574180603027344,7.81766414642334,STANDBY,1712170409.649184
29.574180603027344,7.81766414642334,STANDBY,1712170409.749768
29.574180603027344,7.81766414642334,STANDBY,1712170409.849957
29.366588592529297,8.015098571777344,STANDBY,1712170409.934785
29.366588592529297,8.015098571777344,STANDBY,1712170410.049597
29.366588592529297,8.015098571777344,STANDBY,1712170410.133121
29.366588592529297,8.015098571777344,STANDBY,1712170410.254164
29.366588592529297,8.015098571777344,STANDBY,1712170410.342637
29.366588592529297,8.015098571777344,STANDBY,1712170410.43753
29.366588592529297,8.015098571777344,STANDBY,1712170410.539063
29.366588592529297,8.015098571777344,STANDBY,1712170410.635804
29.877168655395508,8.14620590209961,STANDBY,1712170410.753051
29.877168655395508,8.14620590209961,STANDBY,1712170410.84112
29.877168655395508,8.14620590209961,STANDBY,1712170410.94649
29.877168655395508,8.14620590209961,STANDBY,1712170411.069936
29.286109924316406,8.213211059570312,STANDBY,1712170411.135483
29.286109924316406,8.213211059570312,STANDBY,1712170411.242737
29.286109924316406,8.213211059570312,STANDBY,1712170411.33633
29.286109924316406,8.213211059570312,STANDBY,1712170411.442929
29.401906967163086,8.229364395141602,STANDBY,1712170411.53996
