rgvX,rgvY,Time
13.733423233032227,34.22533416748047,216.513
13.303802490234375,34.192806243896484,216.623
13.654423713684082,34.159847259521484,216.74
13.266229629516602,34.113277435302734,216.84
13.653395652770996,34.05219650268555,216.935
13.974417686462402,34.041038513183594,217.022
13.458683967590332,34.04214096069336,217.131
13.871835708618164,33.98708724975586,217.232
13.413589477539062,33.92901611328125,217.325
13.74661922454834,33.92757034301758,217.428
13.333702087402344,33.86916732788086,217.558
13.654451370239258,33.86326599121094,217.621
14.141365051269531,33.789939880371094,217.709
13.645312309265137,33.4052848815918,217.813
14.38248348236084,33.27043151855469,217.907
16.22623634338379,37.03691864013672,238.68
15.98957347869873,37.04523849487305,238.781
16.38170051574707,37.0683708190918,238.871
16.15424346923828,37.08852005004883,238.981
16.522924423217773,37.079986572265625,239.082
16.312976837158203,37.04228973388672,239.187
16.69222068786621,37.10131072998047,239.295
16.431896209716797,37.12006759643555,239.402
16.153772354125977,37.12800598144531,239.521
16.55506706237793,37.115623474121094,239.625
16.1339168548584,37.137359619140625,239.718
16.788660049438477,37.73442077636719,239.828
15.797019958496094,37.78813552856445,239.941
15.999349594116211,37.981021881103516,240.056
17.177658081054688,37.75270080566406,242.073
16.833812713623047,38.15650939941406,242.151
16.606359481811523,38.48959732055664,242.236
16.593631744384766,38.057586669921875,242.334
16.3288516998291,38.34219741821289,242.432
16.116064071655273,38.62611389160156,242.523
16.207040786743164,38.104862213134766,242.658
16.036291122436523,38.32855987548828,242.744
16.13315773010254,37.88484573364258,242.849
16.14505386352539,37.93965148925781,242.987
16.15104866027832,37.835105895996094,243.086
16.1779842376709,37.874656677246094,243.174
16.178997039794922,37.96904754638672,243.271
16.079317092895508,37.71515655517578,243.357
16.151439666748047,37.752079010009766,243.45
15.9697265625,37.62619400024414,243.571
16.088062286376953,37.650264739990234,243.673
16.172880172729492,37.71662902832031,243.759
16.163381576538086,37.4688720703125,243.868
16.3428955078125,37.509124755859375,243.98
16.39795684814453,37.201622009277344,244.082
16.617826461791992,37.19887924194336,244.178
16.712953567504883,37.199642181396484,244.294
16.906286239624023,37.02170181274414,244.421
17.099348068237305,37.02473449707031,244.517
17.322288513183594,36.738365173339844,244.605
17.453290939331055,36.760154724121094,244.694
17.631107330322266,36.791446685791016,244.815
17.681791305541992,36.78342819213867,244.921
17.811052322387695,36.71170425415039,245.033
17.917278289794922,36.662967681884766,245.142
17.96719741821289,36.63700866699219,245.232
18.049530029296875,36.83229064941406,245.354
18.04889678955078,36.78791809082031,245.459
17.981609344482422,36.76984786987305,245.588
18.036312103271484,36.85152053833008,245.678
18.00414276123047,36.81135559082031,245.787
17.940805435180664,37.016719818115234,245.883
17.880159378051758,37.00452423095703,246.012
17.682126998901367,36.976776123046875,246.106
17.622272491455078,37.05709457397461,246.213
17.462724685668945,37.191551208496094,246.329
17.356773376464844,37.168853759765625,246.427
17.19819450378418,36.988731384277344,246.541
17.107206344604492,37.11087417602539,246.653
17.016613006591797,37.17985534667969,246.764
16.827566146850586,37.22170639038086,246.88
16.699739456176758,37.225711822509766,246.977
16.563791275024414,37.1031494140625,247.082
16.521928787231445,37.1683235168457,247.19
16.387426376342773,37.16783142089844,247.311
16.217002868652344,37.155696868896484,247.392
16.14991569519043,37.105751037597656,247.508
16.005680084228516,37.06047058105469,247.611
15.972626686096191,37.055294036865234,247.713
16.01974868774414,37.07874298095703,247.825
15.980639457702637,37.06074905395508,247.936
15.958833694458008,37.06618881225586,248.031
16.0181941986084,37.021671295166016,248.111
15.979850769042969,37.086082458496094,248.199
15.937910079956055,37.09834671020508,248.277
16.00786590576172,37.0226936340332,248.378
15.965863227844238,37.02157211303711,248.453
15.951513290405273,36.90992736816406,248.57
15.952914237976074,36.96405029296875,248.67
15.93323040008545,37.00491714477539,248.755
16.0546932220459,36.98041534423828,248.85
16.053192138671875,36.99480056762695,248.967
16.09211540222168,36.93344497680664,249.049
16.128217697143555,36.99545669555664,249.129
16.118635177612305,37.05194854736328,249.218
16.23661994934082,37.0710563659668,249.306
16.255168914794922,37.09031295776367,249.418
16.30324935913086,37.092864990234375,249.511
16.352367401123047,37.09239196777344,249.604
16.392955780029297,37.16984939575195,249.684
16.388498306274414,37.19828796386719,249.787
16.44725799560547,37.225887298583984,249.89
16.468048095703125,37.23039245605469,249.984
16.534648895263672,37.18613052368164,250.084
16.558683395385742,37.28752517700195,250.185
16.583412170410156,37.335235595703125,250.286
16.571420669555664,37.28860092163086,250.383
16.568422317504883,37.30270004272461,250.485
16.632831573486328,37.26365661621094,250.584
16.644880294799805,37.372928619384766,250.686
16.63866424560547,37.405433654785156,250.784
16.613313674926758,37.33292007446289,250.893
16.609050750732422,37.3604736328125,250.997
16.673173904418945,37.39044189453125,251.108
16.704923629760742,37.48976135253906,251.212
16.6197509765625,37.4737434387207,251.314
16.631507873535156,37.42802429199219,251.42
16.657930374145508,37.41957473754883,251.534
16.628273010253906,37.44094467163086,251.652
16.686893463134766,37.4688835144043,251.755
16.557226181030273,37.475616455078125,251.866
16.596351623535156,37.410430908203125,251.979
16.498132705688477,37.35456848144531,252.094
16.546646118164062,37.39332962036133,252.189
16.602197647094727,37.37793731689453,252.296
16.49114227294922,37.473392486572266,252.405
16.545562744140625,37.398372650146484,252.522
16.431350708007812,37.32061767578125,252.627
16.467140197753906,37.32880401611328,252.745
16.412147521972656,37.436553955078125,252.856
16.45847511291504,37.403202056884766,252.976
16.325117111206055,37.26009750366211,253.101
16.397489547729492,37.253662109375,253.205
16.35468101501465,37.350502014160156,253.315
