rgvX,rgvY,Time
25.92279624938965,18.25314712524414,Coarse,119.107
25.710681915283203,18.13982391357422,Coarse,119.213
25.804777145385742,18.14735984802246,Coarse,119.322
25.857341766357422,18.06427001953125,Coarse,119.42
25.700092315673828,18.069557189941406,Coarse,119.528
25.853105545043945,17.993406295776367,Coarse,119.648
25.59497833251953,17.902484893798828,Coarse,119.762
25.719663619995117,17.83039665222168,Coarse,119.867
25.53999137878418,17.807151794433594,Coarse,119.982
25.597875595092773,17.808937072753906,Coarse,120.088
25.392467498779297,17.642147064208984,Coarse,120.209
25.550622940063477,17.65200424194336,Coarse,120.32
25.57349967956543,17.64655303955078,Coarse,120.421
25.424686431884766,17.564960479736328,Coarse,120.527
25.474117279052734,17.509288787841797,Coarse,120.651
25.20650863647461,17.471952438354492,Coarse,120.758
25.29510498046875,17.501522064208984,Coarse,120.862
25.13585662841797,17.518054962158203,Coarse,120.966
25.127666473388672,17.575712203979492,Coarse,121.089
24.88654327392578,17.50267219543457,Coarse,121.189
25.02591323852539,17.52779197692871,Coarse,121.3
22.80417823791504,18.66047477722168,Coarse,124.73
22.505332946777344,18.1400146484375,Fine,124.843
22.16397476196289,17.541702270507812,Fine,124.93
21.587217330932617,18.189178466796875,Fine,125.018
21.242183685302734,17.761964797973633,Fine,125.133
21.589418411254883,18.980884552001953,Fine,125.231
21.400712966918945,18.528247833251953,Fine,125.33
21.954708099365234,19.68279457092285,Fine,125.43
21.767934799194336,19.217876434326172,Fine,125.535
21.495868682861328,18.808643341064453,Fine,125.636
22.276775360107422,19.55091094970703,Fine,125.738
22.0748233795166,19.292987823486328,Fine,125.843
22.655046463012695,19.73299217224121,Fine,125.95
22.42914581298828,19.430845260620117,Fine,126.054
22.157861709594727,19.169828414916992,Fine,126.154
22.56897735595703,19.447978973388672,Fine,126.257
22.397531509399414,19.17765998840332,Fine,126.359
22.637027740478516,19.715087890625,Fine,126.456
21.4588565826416,20.141725540161133,Fine,128.359
20.93203353881836,20.306589126586914,Fine,128.469
21.21293830871582,20.21527099609375,Fine,128.569
21.452693939208984,20.13674545288086,Fine,128.67
20.74601936340332,20.32299041748047,Fine,128.776
21.11105728149414,20.14265251159668,Fine,128.887
20.612857818603516,20.171283721923828,Fine,128.991
20.76360511779785,20.15250587463379,Fine,129.107
20.921358108520508,20.145322799682617,Fine,129.215
20.798860549926758,20.31584930419922,Fine,129.327
